music_alias,music_name,music_rating,music_singer,music_tags,music_time,music_url,music_votes
,Stop crying your heart out (2002),8.8,Oasis,Oasis|英国|Vincent|Rock|Britpop|Brit-pop|Alternative-Rock|EP,,https://music.douban.com/subject/4850445/,23
,Go Let It Out,7.7,Oasis,Vincent|Oasis|英国|EP|2000,,https://music.douban.com/subject/3333197/,10
,The Shock of the Lightning,8.6,Oasis,Oasis|英国|Rock|2008|Vincent|Britpop|Brit-pop|Brit-Pop,2008-11-26,https://music.douban.com/subject/3791716/,14
,Stop the Clocks (with DVD),10.0,Oasis,Britpop|Vincent|Rock|Oasis|Brit-pop|2006|英国|英伦摇滚,2006-11-21,https://music.douban.com/subject/3829514/,12
,Don't Look Back in Anger,8.5,Oasis,Oasis|英国|Vincent|Rock|Britpop|Brit-Pop|1998|EP,1998-06-30,https://music.douban.com/subject/3773742/,16
,Don't Look Back In Anger,8.4,Oasis,Oasis|英国|Vincent|Rock|Britpop|Brit-Pop|EP|Alternative-Rock,,https://music.douban.com/subject/3733969/,11
,Everyday、カチューシャ 劇場盤,7.8,AKB48|Team Kenkyuusei,AKB48|日本|J-Pop|2011|JPOP|Single/EP|J-POP|女声,2011-05-25,https://music.douban.com/subject/6438632/,294
,ヘビーローテーション(劇場盤),9.2,AKB48,AKB48|日本|J-Pop|JPOP|J-POP|2010|J-pop|48系,2010-08-18,https://music.douban.com/subject/6194909/,278
,,,,,,,
,風は吹いている（通常盤Type-A／CD＋DVD／イベント参加券無し）,7.8,AKB48,AKB48|日本|J-Pop|JPOP|2011|J-POP|J-pop|日本音乐,2011-10-26,https://music.douban.com/subject/6811310/,642
,ヘビーローテーション,7.9,AKB48,AKB48|日本|JPOP|J-Pop|2010|j-pop|大岛优子|J-POP,2010-08-18,https://music.douban.com/subject/4837289/,996
,風は吹いている（数量限定生産盤Type-A／CD＋DVD）,7.9,AKB48,AKB48|日本|J-Pop|JPOP|2011|J-POP|J-pop|单曲,2011-10-26,https://music.douban.com/subject/6811307/,323
,ポニーテールとシュシュ(TypeB)(DVD付),7.8,AKB48,AKB48|J-Pop|日本|JPOP|2010|J-POP|女声|组合,2010-05-26,https://music.douban.com/subject/4726900/,537
,Beginner (Type-A) [CD+DVD],8.3,AKB48,AKB48|J-Pop|日本|JPOP|2010|J-pop|J-POP|女声,2010-10-27,https://music.douban.com/subject/5064461/,595
,言い訳Maybe【劇場盤】,8.7,AKB48,AKB48|日本|J-POP|JPOP|J-Pop|2009|日本音乐|J-pop,2009-08-26,https://music.douban.com/subject/6383130/,273
,桜の花びらたち2008(初回生産限定盤Type B),9.1,AKB48,AKB48|akb48|日本|JPOP|J-pop|流行|J-Pop|毕业歌,2008-02-27,https://music.douban.com/subject/3274873/,177
